DANE,Department,Deparment_DANE,Year,Month,Deparment_Month,Year_month,Period,DANE_period,DANE_Department_Month,DANE_year,DANE_Year_Month,MPI,altitude,forest,deforest,fire,HFP,mining,Total_pob,coca,temperature,rainfall,vector,cases,sir,excess
5266,5,55266,2021,1,51,2021-1,169,5266001,526651,52662021,5266-2021-1,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,16.0907227,3.449558,1.282051282,0,0,0
5266,5,55266,2021,2,52,2021-2,170,5266002,526652,52662021,5266-2021-2,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,16.3424316,6.61851,1.282051282,0,0,0
5266,5,55266,2021,3,53,2021-3,171,5266003,526653,52662021,5266-2021-3,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,15.6651855,10.70399,1.282051282,0,0,0
5266,5,55266,2021,4,54,2021-4,172,5266004,526654,52662021,5266-2021-4,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,16.1185547,11.821993,1.282051282,0,0,0
5266,5,55266,2021,5,55,2021-5,173,5266005,526655,52662021,5266-2021-5,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,16.2193848,9.813585,1.282051282,0,0,0
5266,5,55266,2021,6,56,2021-6,174,5266006,526656,52662021,5266-2021-6,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,15.6029297,9.559711,1.282051282,0,0,0
5266,5,55266,2021,7,57,2021-7,175,5266007,526657,52662021,5266-2021-7,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,16.0130859,7.364277,1.282051282,0,0,0
5266,5,55266,2021,8,58,2021-8,176,5266008,526658,52662021,5266-2021-8,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,15.9261719,11.548505,1.282051282,0,0,0
5266,5,55266,2021,9,59,2021-9,177,5266009,526659,52662021,5266-2021-9,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,15.8851563,9.607484,1.282051282,0,0,0
5266,5,55266,2021,10,510,2021-10,178,5266010,5266510,52662021,5266-2021-10,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,16.212793,11.49545,1.282051282,0,0,0
5266,5,55266,2021,11,511,2021-11,179,5266011,5266511,52662021,5266-2021-11,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,15.6913086,9.252924,1.282051282,0,0,0
5266,5,55266,2021,12,512,2021-12,180,5266012,5266512,52662021,5266-2021-12,4.9,1600,45.25159545,0,0.532371711,16.13766034,0.342465753,246003,0,16.1583496,5.664602,1.282051282,0,0,0
5360,5,55360,2021,2,52,2021-2,170,5360002,536052,53602021,5360-2021-2,10.9,1600,1.143818919,0,1.143818919,20.29718882,2.631578947,294551,0,25.0247742,6.135162,4.444444444,0,0,0
5360,5,55360,2021,3,53,2021-3,171,5360003,536053,53602021,5360-2021-3,10.9,1600,1.143818919,0,1.143818919,20.29718882,2.631578947,294551,0,24.1314941,9.145391,4.444444444,0,0,0
